CO,Date,Main Pollutant,NO2,Overall AQI Value,Ozone,PM10,PM25,Site ID (of Overall AQI),Site Name (of Overall AQI),Source (of Overall AQI),source_file
16,01/01/2016,PM2.5,42,101,40,38,101,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
24,01/02/2016,PM2.5,42,83,37,27,83,06-037-1201,Reseda,AQS,aqidaily2016.csv
34,01/03/2016,PM2.5,41,100,42,23,100,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
16,01/04/2016,PM2.5,48,68,38,20,68,06-037-1201,Reseda,AQS,aqidaily2016.csv
16,01/05/2016,PM2.5,40,58,40,13,58,06-037-1201,Reseda,AQS,aqidaily2016.csv
17,01/06/2016,PM2.5,42,66,43,15,66,06-037-1201,Reseda,AQS,aqidaily2016.csv
10,01/07/2016,PM2.5,45,62,41,14,62,06-037-1201,Reseda,AQS,aqidaily2016.csv
18,01/08/2016,PM2.5,42,64,40,23,64,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
24,01/09/2016,PM2.5,35,78,40,19,78,06-037-1201,Reseda,AQS,aqidaily2016.csv
11,01/10/2016,PM2.5,32,78,38,19,78,06-037-1201,Reseda,AQS,aqidaily2016.csv
20,01/11/2016,PM2.5,53,76,37,24,76,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
22,01/12/2016,PM2.5,52,65,35,23,65,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
28,01/13/2016,PM2.5,58,75,36,41,75,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2016.csv
22,01/14/2016,PM2.5,41,78,39,32,78,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
18,01/15/2016,PM2.5,35,74,41,31,74,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2016.csv
14,01/16/2016,PM2.5,32,83,37,31,83,06-037-1201,Reseda,AQS,aqidaily2016.csv
22,01/17/2016,PM2.5,39,108,43,46,108,06-059-0007,Anaheim,AQS,aqidaily2016.csv
13,01/18/2016,PM2.5,31,75,33,33,75,06-037-0016,Glendora,AQS,aqidaily2016.csv
14,01/19/2016,PM2.5,38,69,29,25,69,06-037-0016,Glendora,AQS,aqidaily2016.csv
13,01/20/2016,PM2.5,38,76,29,12,76,06-037-1201,Reseda,AQS,aqidaily2016.csv
